location,latitude,longitude,area,bhk,bathrooms,parking,property_age,furnishing,property_type,price,city,source_id
Sector 3 Gurgaon,28.4944483,77.0985008,2076.0,3,3.0,,5,Semifurnished,Apartment,17000000.0,Gurgaon,M71725968
Sector 74 Gurgaon,28.4110081,77.0101209,1404.0,2,2.0,,6,Semifurnished,Apartment,15500000.0,Gurgaon,Y70588462
Sector 74 Gurgaon,28.4110081,77.0101209,1250.0,2,2.0,,6,Semifurnished,Apartment,16500000.0,Gurgaon,E71653886
Sector 65 Gurgaon,28.4030162,77.0695893,1400.0,3,3.0,,1,Semifurnished,Independent/Builder Floor,21500000.0,Gurgaon,B71650398
Sector 74 Gurgaon,28.4110081,77.0101209,1404.0,2,2.0,,6,Semifurnished,Apartment,16500000.0,Gurgaon,R71493532
Sector 85 Gurgaon,28.3985762,76.9547447,1800.0,3,3.0,,5,Semifurnished,Apartment,17000000.0,Gurgaon,W70335422
Sector 85 Gurgaon,28.3985762,76.9547447,1825.0,3,3.0,,5,Semifurnished,Apartment,16500000.0,Gurgaon,D70335766
Sector 85 Gurgaon,28.3985762,76.9547447,2129.0,3,3.0,,5,Semifurnished,Apartment,19500000.0,Gurgaon,C70336082
Sector 82 Gurgaon,28.3932827,76.9545277,1650.0,2,2.0,,6,Semifurnished,Independent/Builder Floor,7800000.0,Gurgaon,K49929740
Sector 63A Gurgaon,28.4618719,77.05688,1950.0,3,3.0,,5,Semifurnished,Independent/Builder Floor,18500000.0,Gurgaon,D71604748
Sector 63A Gurgaon,28.4618719,77.05688,1950.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,19200002.0,Gurgaon,W71604206
Sector 63A Gurgaon,28.4618719,77.05688,2150.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,18500000.0,Gurgaon,F71577080
Sector 50 Gurgaon,28.4268461,77.0584252,2700.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,24000000.0,Gurgaon,W71576944
